id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Time in Epochs (ignore),Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
1,2025-07-01 17:22:29.719,2025-07-01 17:22:29.435808,-4.944026470184326,-7.943961143493652,-2.097320795059204,-0.09651670604944229,-0.07819075137376785,-0.08674286305904388,2025-07-01 17:22:29.454,1751370749454,-7721,-3693,445,-66,55,102
2,2025-07-01 17:22:29.919,2025-07-01 17:22:29.630796,-4.9799394607543945,-8.310274124145508,-2.741360902786255,-0.16249015927314758,-0.012217304669320583,0.02321287989616394,2025-07-01 17:22:29.617,1751370749617,-7719,-3665,441,-67,-124,43
3,2025-07-01 17:22:30.031,2025-07-01 17:22:29.732045,-5.214571475982666,-8.20732307434082,-2.341529369354248,0.2028072625398636,0.06108652427792549,0.0403171069920063,2025-07-01 17:22:29.716,1751370749716,-7741,-3467,477,111,-262,3
4,2025-07-01 17:22:30.132,2025-07-01 17:22:29.833198,-5.080495834350586,-8.288725852966309,-2.583343744277954,-0.0659734457731247,0.01466076634824276,0.03787364438176155,2025-07-01 17:22:29.812,1751370749812,-7689,-3460,786,-119,0,70
5,2025-07-01 17:22:30.220,2025-07-01 17:22:29.933551,-5.178658485412598,-7.872135162353516,-2.4444799423217773,0.11239920556545258,0.01710422709584236,-0.00366519158706069,2025-07-01 17:22:29.902,1751370749902,-7716,-3468,797,-60,114,37
6,2025-07-01 17:22:30.319,2025-07-01 17:22:30.032422,-5.066130638122559,-8.018181800842285,-2.5115175247192383,0.021991148591041565,0.00366519158706069,-0.03787364438176155,2025-07-01 17:22:30.003,1751370750003,-7693,-3711,819,-61,-120,32
7,2025-07-01 17:22:30.419,2025-07-01 17:22:30.132136,-5.039794445037842,-7.8314337730407715,-2.5929205417633057,0.02076941914856434,0.009773843921720982,-0.00366519158706069,2025-07-01 17:22:30.158,1751370750158,-7721,-3704,831,77,91,77
8,2025-07-01 17:22:30.521,2025-07-01 17:22:30.232227,-4.869806289672852,-8.245630264282227,-2.535459518432617,-0.05619960278272629,-0.028099801391363144,0.02076941914856434,2025-07-01 17:22:30.263,1751370750263,-7712,-3488,664,7,-181,28
9,2025-07-01 17:22:30.625,2025-07-01 17:22:30.332227,-5.135562419891357,-8.322244644165039,-2.5953147411346436,0.18814650177955627,0.0403171069920063,0.00366519158706069,2025-07-01 17:22:30.351,1751370750351,-7707,-3467,701,50,-531,-207
10,2025-07-01 17:22:30.827,2025-07-01 17:22:30.432265,-5.0900726318359375,-8.40843677520752,-2.513911724090576,0.2223549485206604,-0.039095375686883926,-0.0354301854968071,2025-07-01 17:22:30.428,1751370750428,-7416,-3530,753,89,-144,-531
11,2025-07-01 17:22:30.928,2025-07-01 17:22:30.631483,-5.020640850067139,-8.372523307800293,-2.2840683460235596,0.1111774742603302,-0.0024434609804302454,0.006108652334660292,2025-07-01 17:22:30.622,1751370750622,-7395,-3544,760,94,354,26
12,2025-07-01 17:22:31.034,2025-07-01 17:22:30.732546,-5.161899089813232,-8.11634349822998,-1.9823989868164062,0.01466076634824276,0.03298672288656235,0.028099801391363144,2025-07-01 17:22:30.706,1751370750706,-7414,-3539,729,-112,-59,-104
13,2025-07-01 17:22:31.124,2025-07-01 17:22:30.832817,-5.161899089813232,-8.11634349822998,-1.9823989868164062,0.01466076634824276,0.03298672288656235,0.028099801391363144,2025-07-01 17:22:30.796,1751370750796,-7684,-3524,716,80,321,78
14,2025-07-01 17:22:31.224,2025-07-01 17:22:30.933082,-5.097255229949951,-8.389283180236816,-2.0398597717285156,-0.11362093687057495,0.015882495790719986,0.030543262138962746,2025-07-01 17:22:30.894,1751370750894,-7681,-3505,695,0,309,119
15,2025-07-01 17:22:31.331,2025-07-01 17:22:31.032633,-4.888959884643555,-7.9415669441223145,-2.2170307636260986,-0.07452555745840073,0.05742133408784866,0.0024434609804302454,2025-07-01 17:22:31.004,1751370751004,-7410,-3550,662,38,318,-261
16,2025-07-01 17:22:31.420,2025-07-01 17:22:31.130984,-5.169081687927246,-8.051700592041016,-2.3319525718688965,-0.07452555745840073,0.05742133408784866,0.0024434609804302454,2025-07-01 17:22:31.156,1751370751156,-7394,-3544,873,20,76,-99
17,2025-07-01 17:22:31.538,2025-07-01 17:22:31.130984,-5.169081687927246,-8.051700592041016,-2.3319525718688965,-0.07452555745840073,0.05742133408784866,0.0024434609804302454,2025-07-01 17:22:31.156,1751370751156,-7394,-3544,873,20,76,-99
18,2025-07-01 17:22:31.723,2025-07-01 17:22:31.332003,-4.726154327392578,-7.881711959838867,-1.845929503440857,-0.07208210229873657,0.04642575979232788,-0.05253441259264946,2025-07-01 17:22:31.337,1751370751337,-7699,-3495,866,115,-12,-117
19,2025-07-01 17:22:32.320,2025-07-01 17:22:32.033725,-5.027823448181152,-8.324639320373535,-1.941697597503662,0.04886921867728233,0.009773843921720982,-0.00855211354792118,2025-07-01 17:22:32.047,1751370752047,-7721,-3632,885,125,107,29
20,2025-07-01 17:22:32.422,2025-07-01 17:22:32.133484,-5.027823448181152,-8.324639320373535,-1.941697597503662,0.04886921867728233,0.009773843921720982,-0.00855211354792118,2025-07-01 17:22:32.144,1751370752144,-7762,-3627,867,47,-123,112
21,2025-07-01 17:22:32.526,2025-07-01 17:22:32.232172,-5.04218864440918,-8.446743965148926,-1.922544002532959,-0.019547687843441963,-0.05864306539297104,0.01466076634824276,2025-07-01 17:22:32.241,1751370752241,-7759,-3647,892,-295,37,106
22,2025-07-01 17:22:32.719,2025-07-01 17:22:32.431972,-4.742913722991943,-8.300697326660156,-1.867477297782898,0.11362093687057495,0.00366519158706069,-0.042760565876960754,2025-07-01 17:22:32.422,1751370752422,-7762,-3603,648,51,-47,-4
23,2025-07-01 17:22:32.820,2025-07-01 17:22:32.536587,-5.25527286529541,-8.398859977722168,-2.118868589401245,0.1563815027475357,0.039095375686883926,0.009773843921720982,2025-07-01 17:22:32.505,1751370752505,-7790,-3255,861,27,-33,366
24,2025-07-01 17:22:32.926,2025-07-01 17:22:32.632224,-5.027823448181152,-8.793902397155762,-2.2146365642547607,-0.10384709388017654,0.028099801391363144,0.028099801391363144,2025-07-01 17:22:32.605,1751370752605,-7562,-3241,843,-288,-44,372
25,2025-07-01 17:22:33.021,2025-07-01 17:22:32.731582,-4.991910457611084,-8.418013572692871,-2.0183119773864746,-0.045204028487205505,-0.05619960278272629,0.013439035043120384,2025-07-01 17:22:32.702,1751370752702,-7563,-3226,810,49,-69,-114
26,2025-07-01 17:22:33.219,2025-07-01 17:22:32.930385,-5.116408824920654,-8.47547435760498,-2.142810583114624,0.03176499158143997,0.0,0.01710422709584236,2025-07-01 17:22:32.895,1751370752895,-7577,-3206,807,-279,80,21
27,2025-07-01 17:22:33.319,2025-07-01 17:22:33.031485,-4.999093055725098,-8.480262756347656,-2.2385785579681396,0.18325957655906677,-0.1014036312699318,-0.045204028487205505,2025-07-01 17:22:33.070,1751370753070,-7562,-3299,838,-77,89,-821
28,2025-07-01 17:22:33.519,2025-07-01 17:22:33.231875,-5.276820659637451,-8.13789176940918,-2.205059766769409,-0.0012217304902151227,0.14905111491680145,0.02687807008624077,2025-07-01 17:22:33.219,1751370753219,-7713,-3681,646,-77,29,-271
29,2025-07-01 17:22:33.620,2025-07-01 17:22:33.331735,-5.0014872550964355,-8.216899871826172,-2.1092917919158936,0.12461651116609573,-0.018325956538319588,0.009773843921720982,2025-07-01 17:22:33.316,1751370753316,-7701,-3618,656,115,19,-259
30,2025-07-01 17:22:33.919,2025-07-01 17:22:33.636621,-5.0014872550964355,-8.267178535461426,-2.0805611610412598,0.18325957655906677,0.10873401165008545,-0.0757472887635231,2025-07-01 17:22:33.614,1751370753614,-7725,-3681,710,50,28,73
31,2025-07-01 17:22:34.020,2025-07-01 17:22:33.729684,-5.2265424728393555,-8.525752067565918,-2.6024973392486572,-0.22357667982578278,-0.10506882518529892,0.10995574295520782,2025-07-01 17:22:33.764,1751370753764,-7397,-3336,965,-133,-679,628
32,2025-07-01 17:22:34.219,2025-07-01 17:22:33.931454,-4.786009311676025,-8.762778282165527,-2.0853497982025146,-0.14294247329235077,-0.2431243658065796,0.07696902006864548,2025-07-01 17:22:33.942,1751370753942,-7728,-3605,1571,-5427,83,3435
33,2025-07-01 17:22:34.419,2025-07-01 17:22:34.130689,-5.219359874725342,-7.924807548522949,-1.8626888990402222,0.16982053220272064,0.12828169763088226,-0.06963863968849182,2025-07-01 17:22:34.135,1751370754135,-8203,-2230,361,-1129,1361,2011
34,2025-07-01 17:22:34.619,2025-07-01 17:22:34.331599,-5.140350818634033,-8.391676902770996,-2.166752576828003,-0.12217304855585098,-0.028099801391363144,0.05009094998240471,2025-07-01 17:22:34.312,1751370754312,-8384,-1539,-293,-394,-31,609
35,2025-07-01 17:22:34.719,2025-07-01 17:22:34.430821,-4.819528102874756,-8.542511940002441,-1.922544002532959,0.0024434609804302454,-0.03787364438176155,0.0012217304902151227,2025-07-01 17:22:34.396,1751370754396,-8343,-1638,64,-77,-416,-113
36,2025-07-01 17:22:35.030,2025-07-01 17:22:34.731639,-5.078101634979248,-8.166622161865234,-1.9704279899597168,0.05742133408784866,0.03298672288656235,0.0708603709936142,2025-07-01 17:22:34.751,1751370754751,-8118,-1425,-121,786,-270,-828
37,2025-07-01 17:22:35.128,2025-07-01 17:22:34.831134,-5.032611846923828,-8.324639320373535,-1.6879122257232666,-0.03298672288656235,0.00366519158706069,0.0757472887635231,2025-07-01 17:22:34.871,1751370754871,-8282,-2160,125,1118,-560,-1401
38,2025-07-01 17:22:35.430,2025-07-01 17:22:35.130689,-5.461174011230469,-9.100360870361328,-2.123656988143921,-0.3591887652873993,0.09896016865968704,0.11972958594560623,2025-07-01 17:22:35.116,1751370755116,-8196,-2406,849,2605,-380,-1179
