id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Time in Epochs (ignore),Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
1,2025-07-01 17:28:00.623,2025-07-01 17:28:00.350501,-0.9217676520347595,-8.96389102935791,4.211400985717773,0.07452555745840073,0.02076941914856434,0.03176499158143997,2025-07-01 17:28:00.311,1751371080311,-7767,-3306,1702,6,-308,23
2,2025-07-01 17:28:00.828,2025-07-01 17:28:00.547016,-0.9768342971801758,-8.798690795898438,4.443638324737549,-0.06108652427792549,-0.01710422709584236,-0.03787364438176155,2025-07-01 17:28:00.561,1751371080561,-7754,-3291,1778,321,-102,17
3,2025-07-01 17:28:00.920,2025-07-01 17:28:00.655995,-0.9552865028381348,-8.841787338256836,4.299986362457275,0.02321287989616394,0.0024434609804302454,0.009773843921720982,2025-07-01 17:28:00.638,1751371080638,-7745,-3286,2058,328,-120,-258
4,2025-07-01 17:28:01.147,2025-07-01 17:28:00.858150,-0.912190854549408,-8.78193187713623,4.381389141082764,0.012217304669320583,-0.00733038317412138,-0.0012217304902151227,2025-07-01 17:28:00.825,1751371080825,-7684,-3295,2169,-106,79,-301
5,2025-07-01 17:28:01.223,2025-07-01 17:28:00.935272,-0.9169792532920837,-8.83939266204834,4.393360137939453,-0.004886921960860491,-0.0024434609804302454,-0.00733038317412138,2025-07-01 17:28:00.920,1751371080920,-7736,-3258,2127,-105,38,70
6,2025-07-01 17:28:01.321,2025-07-01 17:28:01.055754,-0.9696516990661621,-8.920795440673828,4.304774761199951,0.013439035043120384,-0.010995574295520782,0.010995574295520782,2025-07-01 17:28:01.091,1751371081091,-7721,-3303,2158,-265,-113,12
7,2025-07-01 17:28:01.420,2025-07-01 17:28:01.162340,-1.0199298858642578,-8.844181060791016,4.424484729766846,0.04886921867728233,0.009773843921720982,0.019547687843441963,2025-07-01 17:28:01.189,1751371081189,-7712,-3632,2175,-306,88,-318
8,2025-07-01 17:28:01.633,2025-07-01 17:28:01.352153,-1.0199298858642578,-8.75080680847168,4.390965938568115,0.06719517707824707,0.01466076634824276,0.02321287989616394,2025-07-01 17:28:01.377,1751371081377,-7403,-3610,1959,-295,83,-300
9,2025-07-01 17:28:01.731,2025-07-01 17:28:01.455118,-1.05105459690094,-8.59997272491455,4.517858505249023,0.00855211354792118,0.006108652334660292,-0.00366519158706069,2025-07-01 17:28:01.456,1751371081456,-7424,-3601,1967,84,79,11
10,2025-07-01 17:28:01.839,2025-07-01 17:28:01.557327,-0.9648633003234863,-8.698134422302246,4.441244125366211,-0.02321287989616394,-0.00733038317412138,-0.01710422709584236,2025-07-01 17:28:01.553,1751371081553,-7339,-3592,1961,-359,-316,16
11,2025-07-01 17:28:01.920,2025-07-01 17:28:01.658705,-0.8954314589500427,-8.956708908081055,4.443638324737549,-0.0708603709936142,-0.00733038317412138,-0.028099801391363144,2025-07-01 17:28:01.638,1751371081638,-7304,-3323,1951,-476,-216,-135
12,2025-07-01 17:28:02.021,2025-07-01 17:28:01.757754,-1.0271124839782715,-8.671798706054688,4.3406877517700195,0.05864306539297104,0.018325956538319588,0.004886921960860491,2025-07-01 17:28:01.739,1751371081739,-7445,-3630,1886,-1241,-246,-139
13,2025-07-01 17:28:02.247,2025-07-01 17:28:01.955275,-0.9409212470054626,-8.724471092224121,4.520252704620361,0.006108652334660292,0.0,0.0012217304902151227,2025-07-01 17:28:01.915,1751371081915,-7491,-3861,2317,-697,-230,258
14,2025-07-01 17:28:02.320,2025-07-01 17:28:02.057516,-0.950498104095459,-8.688557624816895,4.321534156799316,0.010995574295520782,-0.00855211354792118,-0.009773843921720982,2025-07-01 17:28:02.091,1751371082091,-7505,-3560,2023,-429,-285,110
15,2025-07-01 17:28:02.527,2025-07-01 17:28:02.256833,-0.8451532125473022,-8.913613319396973,4.331110954284668,-0.02687807008624077,-0.00855211354792118,-0.006108652334660292,2025-07-01 17:28:02.246,1751371082246,-7389,-3860,1761,-421,158,-91
16,2025-07-01 17:28:02.621,2025-07-01 17:28:02.355270,-0.9145850539207458,-8.880094528198242,4.311957359313965,0.00366519158706069,0.0,0.004886921960860491,2025-07-01 17:28:02.348,1751371082348,-7353,-3526,1679,303,132,-55
17,2025-07-01 17:28:02.720,2025-07-01 17:28:02.453170,-0.8834604024887085,-8.825027465820312,4.321534156799316,-0.013439035043120384,0.0,-0.006108652334660292,2025-07-01 17:28:02.446,1751371082446,-7392,-3698,1877,-42,-80,-8
18,2025-07-01 17:28:02.820,2025-07-01 17:28:02.453170,-0.8834604024887085,-8.825027465820312,4.321534156799316,-0.013439035043120384,0.0,-0.006108652334660292,2025-07-01 17:28:02.446,1751371082446,-7392,-3698,1877,-42,-80,-8
19,2025-07-01 17:28:02.920,2025-07-01 17:28:02.648705,-0.9145850539207458,-8.803479194641113,4.326322555541992,0.00855211354792118,-0.0012217304902151227,0.0024434609804302454,2025-07-01 17:28:02.650,1751371082650,-7408,-3686,1853,286,296,112
