id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Time in Epochs (ignore),Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
1,2025-07-01 17:16:54.289,2025-07-01 17:16:54.041850,0.10773907601833344,-8.26239013671875,5.884947776794434,0.26145032048225403,-0.12217304855585098,-0.08918632566928864,2025-07-01 17:16:54.015,1751370414015,-7146,408,-3426,321,122,-369
2,2025-07-01 17:16:54.502,2025-07-01 17:16:54.245050,-0.5602431893348694,-8.793902397155762,5.489904403686523,-0.6279694437980652,0.1918116807937622,0.02932153269648552,2025-07-01 17:16:54.286,1751370414286,-7403,425,-3335,-34,-37,90
3,2025-07-01 17:16:54.599,2025-07-01 17:16:54.245050,-0.5602431893348694,-8.793902397155762,5.489904403686523,-0.6279694437980652,0.1918116807937622,0.02932153269648552,2025-07-01 17:16:54.286,1751370414286,-7403,425,-3335,-34,-37,90
4,2025-07-01 17:16:54.700,2025-07-01 17:16:54.442962,-0.1388636976480484,-8.26239013671875,5.341464042663574,-0.1820378452539444,0.0806342139840126,0.24434609711170197,2025-07-01 17:16:54.471,1751370414471,-7114,220,-3357,-165,-9,-364
5,2025-07-01 17:16:54.803,2025-07-01 17:16:54.532667,0.9911994934082031,-7.934384346008301,5.793968200683594,0.20402899384498596,-0.09407325088977814,-0.15882496535778046,2025-07-01 17:16:54.546,1751370414546,-7134,172,-3377,-370,-4,-354
6,2025-07-01 17:16:54.901,2025-07-01 17:16:54.648747,-0.3758896589279175,-8.573636054992676,5.1595048904418945,-0.07696902006864548,0.17837265133857727,0.3543018400669098,2025-07-01 17:16:54.652,1751370414652,-7520,565,-3349,-96,43,-4
7,2025-07-01 17:16:55.197,2025-07-01 17:16:54.838636,-0.014365210197865963,-8.188169479370117,5.585672378540039,-0.7745771408081055,0.37140607833862305,0.39706242084503174,2025-07-01 17:16:54.820,1751370414820,-7397,629,-3017,-83,-198,-75
8,2025-07-01 17:16:55.598,2025-07-01 17:16:55.344217,1.0103530883789062,-8.271966934204102,5.612008571624756,0.025656340643763542,-0.3127630054950714,-0.43615779280662537,2025-07-01 17:16:55.360,1751370415360,-7685,425,-2793,-96,-194,287
9,2025-07-01 17:16:55.698,2025-07-01 17:16:55.440050,0.8427590131759644,-7.723694801330566,5.1116204261779785,-0.44104471802711487,0.2223549485206604,0.43615779280662537,2025-07-01 17:16:55.456,1751370415456,-7343,448,-3079,-70,-517,263
10,2025-07-01 17:16:55.797,2025-07-01 17:16:55.538736,-0.021547814831137657,-9.765948295593262,4.513070106506348,0.0012217304902151227,-0.08307767659425735,-0.039095375686883926,2025-07-01 17:16:55.552,1751370415552,-7349,616,-3161,105,-118,-36
11,2025-07-01 17:16:55.992,2025-07-01 17:16:55.743007,0.9361328482627869,-8.439560890197754,5.1595048904418945,-0.03787364438176155,-0.0012217304902151227,0.11484266817569733,2025-07-01 17:16:55.720,1751370415720,-7684,454,-3114,70,-97,-48
12,2025-07-01 17:16:56.293,2025-07-01 17:16:56.046446,0.2082955539226532,-9.923966407775879,4.0749311447143555,-0.16004669666290283,-0.02687807008624077,-0.24556782841682434,2025-07-01 17:16:56.078,1751370416078,-7485,448,-2975,-113,17,-85
13,2025-07-01 17:16:56.691,2025-07-01 17:16:56.440348,0.28730419278144836,-9.150638580322266,4.831499099731445,0.27977627515792847,-0.004886921960860491,-0.38728857040405273,2025-07-01 17:16:56.445,1751370416445,-7527,439,-2809,-287,-248,114
14,2025-07-01 17:16:57.391,2025-07-01 17:16:57.146807,-0.5171475410461426,-9.41400146484375,4.2760443687438965,0.23945917189121246,0.00366519158706069,0.16493362188339233,2025-07-01 17:16:57.158,1751370417158,-7513,-13,-3029,-575,440,-335
15,2025-07-01 17:16:57.496,2025-07-01 17:16:57.240765,1.4053963422775269,-7.694964408874512,5.7341132164001465,0.294437050819397,-0.06719517707824707,-0.3066543638706207,2025-07-01 17:16:57.254,1751370417254,-7352,292,-3330,-233,444,106
16,2025-07-01 17:16:57.589,2025-07-01 17:16:57.240765,1.4053963422775269,-7.694964408874512,5.7341132164001465,0.294437050819397,-0.06719517707824707,-0.3066543638706207,2025-07-01 17:16:57.254,1751370417254,-7352,292,-3330,-233,444,106
17,2025-07-01 17:16:57.791,2025-07-01 17:16:57.442921,1.2832920551300049,-7.469909191131592,5.710171222686768,0.26511552929878235,-0.16493362188339233,-0.4178318381309509,2025-07-01 17:16:57.442,1751370417442,-7321,423,-3360,224,332,-6
18,2025-07-01 17:16:57.989,2025-07-01 17:16:57.734050,-0.47884035110473633,-8.736441612243652,4.656722068786621,0.04886921867728233,0.07452555745840073,0.11728613078594208,2025-07-01 17:16:57.697,1751370417697,-7419,449,-2992,-42,-222,-38
19,2025-07-01 17:16:58.391,2025-07-01 17:16:58.149183,-0.9528923034667969,-9.739612579345703,4.048594951629639,-0.025656340643763542,-0.05864306539297104,-0.4251621961593628,2025-07-01 17:16:58.156,1751370418156,-7511,220,-3148,-41,95,22
20,2025-07-01 17:16:58.790,2025-07-01 17:16:58.531780,2.1499931812286377,-7.496245384216309,5.937620162963867,0.6255260109901428,-0.15515977144241333,-0.6902777552604675,2025-07-01 17:16:58.518,1751370418518,-7784,180,-2715,-33,-144,-290
21,2025-07-01 17:16:58.989,2025-07-01 17:16:58.742669,-0.10055647045373917,-9.588777542114258,3.663128614425659,0.7464773058891296,-0.3139847218990326,-0.4349360466003418,2025-07-01 17:16:58.706,1751370418706,-7638,576,-2697,43,316,-115
22,2025-07-01 17:16:59.289,2025-07-01 17:16:59.045891,1.2306196689605713,-2.9927520751953125,-1.0534487962722778,0.8381071090698242,-0.2565633952617645,-0.48380526900291443,2025-07-01 17:16:59.045,1751370419045,-7939,782,-2952,21,285,-622
23,2025-07-01 17:16:59.598,2025-07-01 17:16:59.244581,0.19393034279346466,-8.26239013671875,5.415684223175049,0.08674286305904388,-0.05619960278272629,-0.06352998316287994,2025-07-01 17:16:59.250,1751370419250,-7372,-869,-2473,-666,549,-1176
24,2025-07-01 17:16:59.702,2025-07-01 17:16:59.437111,0.08379705995321274,-9.083600997924805,4.55616569519043,-1.1374311447143555,0.33719760179519653,0.8491026759147644,2025-07-01 17:16:59.419,1751370419419,-7149,-385,-3025,102,79,174
25,2025-07-01 17:16:59.801,2025-07-01 17:16:59.547896,-0.38307225704193115,-8.621520042419434,5.219359874725342,1.1753047704696655,-0.3274237811565399,-0.34697145223617554,2025-07-01 17:16:59.586,1751370419586,-7654,-287,-3128,290,365,411
26,2025-07-01 17:17:00.400,2025-07-01 17:17:00.146156,0.933738648891449,-7.3669586181640625,5.8442463874816895,0.23335053026676178,0.1771509200334549,0.4080579876899719,2025-07-01 17:17:00.146,1751370420146,-7703,98,-3148,70,28,641
27,2025-07-01 17:17:00.796,2025-07-01 17:17:00.542906,0.9528923034667969,-7.948749542236328,5.461174011230469,-0.3396410644054413,0.1771509200334549,0.3628539443016052,2025-07-01 17:17:00.529,1751370420529,-7519,129,-2808,-18,-230,371
28,2025-07-01 17:17:01.097,2025-07-01 17:17:00.833154,0.17956513166427612,-7.728483200073242,5.228936672210693,-0.11362093687057495,-0.0403171069920063,-0.4495968222618103,2025-07-01 17:17:00.863,1751370420863,-7519,345,-3108,-11,92,107
29,2025-07-01 17:17:01.689,2025-07-01 17:17:01.452466,1.403002142906189,-7.412448406219482,5.837063789367676,0.1661553531885147,-0.06352998316287994,-0.012217304669320583,2025-07-01 17:17:01.474,1751370421474,-7410,199,-3190,317,156,29
30,2025-07-01 17:17:01.892,2025-07-01 17:17:01.548034,-0.47405192255973816,-10.113107681274414,4.280832767486572,-0.3090978264808655,0.11728613078594208,-0.22968533635139465,2025-07-01 17:17:01.576,1751370421576,-7720,218,-3156,-1,150,79
31,2025-07-01 17:17:01.989,2025-07-01 17:17:01.747046,0.3208230137825012,-8.470685958862305,4.853046894073486,0.5852088928222656,-0.1368338167667389,-0.5644394755363464,2025-07-01 17:17:01.749,1751370421749,-7563,522,-3076,-118,312,103
32,2025-07-01 17:17:02.189,2025-07-01 17:17:01.942289,1.2234370708465576,-7.350199222564697,5.272032260894775,0.5229006409645081,-0.10384709388017654,-0.598647952079773,2025-07-01 17:17:01.936,1751370421936,-7568,239,-2709,-102,-26,-344
