id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Time in Epochs (ignore),Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
1,2025-07-01 17:52:24.085,2025-07-01 17:52:23.830210,9.042900085449219,-2.674323320388794,3.778050184249878,0.9749409556388855,0.950506329536438,1.6383405923843384,2025-07-01 17:52:23.870,1751372543870,-6290,-5467,481,-401,1070,1712
2,2025-07-01 17:52:24.284,2025-07-01 17:52:24.040522,3.7660791873931885,-5.492298603057861,4.9799394607543945,-1.1191051006317139,2.3066272735595703,1.4697418212890625,2025-07-01 17:52:24.053,1751372544053,-7041,-4220,31,-1382,1932,3349
3,2025-07-01 17:52:24.387,2025-07-01 17:52:24.127997,2.22660756111145,-6.366182327270508,3.8762125968933105,-0.6475171446800232,1.3084733486175537,0.3897320330142975,2025-07-01 17:52:24.161,1751372544161,-7559,-3462,-858,-875,1858,2356
4,2025-07-01 17:52:24.585,2025-07-01 17:52:24.328565,2.913743495941162,-7.850587368011475,3.4596214294433594,-0.30054569244384766,0.2919935882091522,-0.513126790523529,2025-07-01 17:52:24.319,1751372544319,-7747,-3076,-1308,-728,133,718
5,2025-07-01 17:52:24.686,2025-07-01 17:52:24.437324,4.436455726623535,-8.35336971282959,3.5673606395721436,0.26511552929878235,0.3445279896259308,-0.5094616413116455,2025-07-01 17:52:24.412,1751372544412,-7566,-2772,-929,-462,-568,409
6,2025-07-01 17:52:24.994,2025-07-01 17:52:24.729162,4.398148536682129,-8.286332130432129,3.181894063949585,-0.3628539443016052,0.10262536257505417,-0.39095374941825867,2025-07-01 17:52:24.770,1751372544770,-7904,-2004,-179,242,-783,818
7,2025-07-01 17:52:25.084,2025-07-01 17:52:24.840739,3.993528366088867,-9.095572471618652,3.1747114658355713,-0.15882496535778046,-0.07208210229873657,0.03176499158143997,2025-07-01 17:52:24.876,1751372544876,-7900,-2172,-270,402,-436,449
8,2025-07-01 17:52:25.284,2025-07-01 17:52:25.027922,4.182670593261719,-8.216899871826172,2.559401512145996,-0.2272418737411499,0.15271630883216858,0.042760565876960754,2025-07-01 17:52:25.033,1751372545033,-8116,-1582,-300,221,337,1486
9,2025-07-01 17:52:25.384,2025-07-01 17:52:25.135876,3.9480385780334473,-9.064447402954102,2.5977089405059814,0.27977627515792847,-0.08796459436416626,0.05009094998240471,2025-07-01 17:52:25.118,1751372545118,-8492,-1179,-284,536,186,1246
10,2025-07-01 17:52:25.507,2025-07-01 17:52:25.235918,3.912125587463379,-8.62391471862793,2.894589900970459,0.1612684279680252,0.012217304669320583,0.08796459436416626,2025-07-01 17:52:25.251,1751372545251,-8534,-1137,-148,-48,44,580
11,2025-07-01 17:52:25.584,2025-07-01 17:52:25.335825,4.572925090789795,-9.220070838928223,2.9975404739379883,0.12339477986097336,-0.025656340643763542,0.23090706765651703,2025-07-01 17:52:25.306,1751372545306,-8464,-1298,79,-95,-197,340
12,2025-07-01 17:52:25.784,2025-07-01 17:52:25.534829,3.6320040225982666,-9.765948295593262,3.066972494125366,-0.06352998316287994,-0.44715335965156555,0.807563841342926,2025-07-01 17:52:25.575,1751372545575,-8179,-1067,-49,148,-28,-345
13,2025-07-01 17:52:25.884,2025-07-01 17:52:25.643493,3.421314239501953,-10.42195987701416,2.0877439975738525,0.2932153046131134,-0.4801400899887085,0.9773843884468079,2025-07-01 17:52:25.665,1751372545665,-8465,-1114,-111,148,373,-190
14,2025-07-01 17:52:26.184,2025-07-01 17:52:25.928786,-1.2761094570159912,-9.751583099365234,3.0573954582214355,0.23579397797584534,-0.28588494658470154,1.2974777221679688,2025-07-01 17:52:25.935,1751372545935,-8302,-1548,-179,309,342,-867
15,2025-07-01 17:52:26.296,2025-07-01 17:52:26.025772,-1.9057846069335938,-9.030928611755371,2.9903578758239746,0.05864306539297104,-0.598647952079773,1.3084733486175537,2025-07-01 17:52:26.021,1751372546021,-8119,-1596,-254,264,222,-828
