Timestamp,Temperature,Humidity,Light Intensity,Co2 Concentration,Door Status,Motion Status
2025-09-03 14:00:00,33.81,72.06,47,1088,Closed,Inactivity
2025-09-03 14:01:00,39.51,88.05,81,1267,Open,Inactivity
2025-09-03 14:02:00,37.35,80.11,88,1142,Open,Moving
2025-09-03 14:03:00,36.03,86.53,67,1058,Open,Inactivity
2025-09-03 14:04:00,31.64,76.4,70,1025,Open,Inactivity
2025-09-03 14:05:00,31.64,87.91,97,1046,Closed,Moving
2025-09-03 14:06:00,30.68,77.78,48,1287,Closed,Inactivity
2025-09-03 14:07:00,38.68,70.22,93,1265,Closed,Moving
2025-09-03 14:08:00,36.05,88.11,90,1015,Closed,Inactivity
2025-09-03 14:09:00,37.11,71.83,68,1198,Closed,Moving
2025-09-03 14:10:00,30.3,76.39,53,1281,Open,Inactivity
2025-09-03 14:11:00,39.7,89.0,79,1085,Closed,Inactivity
2025-09-03 14:12:00,38.34,89.01,80,1249,Closed,Moving
2025-09-03 14:13:00,32.2,81.47,61,1269,Closed,Moving
2025-09-03 14:14:00,31.9,82.64,50,1116,Closed,Inactivity
2025-09-03 14:15:00,31.92,78.97,62,1006,Closed,Moving
2025-09-03 14:16:00,33.11,75.86,40,1136,Open,Moving
2025-09-03 14:17:00,35.3,76.57,85,1175,Open,Moving
2025-09-03 14:18:00,34.38,83.45,76,1214,Open,Moving
2025-09-03 14:19:00,32.98,85.05,60,1081,Closed,Inactivity
2025-09-03 14:20:00,36.16,85.83,65,1222,Open,Inactivity
2025-09-03 14:21:00,31.48,85.79,85,1102,Open,Moving
2025-09-03 14:22:00,32.99,71.82,75,1272,Closed,Moving
2025-09-03 14:23:00,33.73,79.89,93,1013,Closed,Moving
2025-09-03 14:24:00,34.62,71.15,62,1158,Closed,Moving
2025-09-03 14:25:00,37.87,80.99,96,1151,Open,Inactivity
2025-09-03 14:26:00,32.08,78.83,40,1107,Open,Inactivity
2025-09-03 14:27:00,35.19,87.75,93,1187,Closed,Moving
2025-09-03 14:28:00,35.96,77.02,94,1300,Closed,Moving
2025-09-03 14:29:00,30.56,72.34,90,1097,Open,Moving
2025-09-03 14:30:00,36.11,72.86,79,1130,Open,Inactivity
2025-09-03 14:31:00,31.79,85.23,54,1292,Closed,Moving
2025-09-03 14:32:00,30.74,82.36,60,1170,Closed,Inactivity
2025-09-03 14:33:00,39.49,72.02,86,1182,Open,Moving
2025-09-03 14:34:00,39.66,71.68,48,1038,Closed,Inactivity
2025-09-03 14:35:00,38.1,84.02,92,1014,Open,Moving
2025-09-03 14:36:00,33.12,71.46,48,1003,Open,Inactivity
2025-09-03 14:37:00,31.07,86.44,49,1209,Open,Moving
2025-09-03 14:38:00,36.87,84.12,91,1160,Open,Moving
2025-09-03 14:39:00,34.46,71.63,96,1015,Closed,Moving
2025-09-03 14:40:00,31.31,71.7,92,1107,Closed,Inactivity
2025-09-03 14:41:00,35.0,89.73,65,1226,Open,Moving
